emp,estabs,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,fage4,firmdeath_emp,firmdeath_estabs,firmdeath_firms,firms,fsize,ifsize,job_creation,job_creation_births,job_creation_continuers,job_creation_rate,job_creation_rate_births,job_destruction,job_destruction_continuer,job_destruction_deaths,job_destruction_rate,job_destruction_rate_deat,net_job_creation,net_job_creation_rate,reallocation_rate,sic1,time,denom,sic,decades,entrant,all
66091812,4153792,697749,17.1,526010,12.9,Economy Wide,2224963,352967,350748,3417903,Economy Wide,m,13919514,5858902,8060612,21.8,9.2,9711153,5801496,3909657,15.2,6.1,4208361,6.6,30.4,EW,1977,,Economy wide,1983-,False,True
275551,36976,7306,19.8,7083,19.2,Economy Wide,19331,5006,4996,35945,Economy Wide,m,105857,60750,45107,41.7,23.9,62360,33902,28458,24.6,11.2,43497,17.1,49.2,AGR,1977,,Agriculture,1983-,False,True
800256,25448,4347,17.5,3193,12.8,Economy Wide,20198,1958,1949,19363,Economy Wide,m,184197,75432,108765,23.9,9.8,123781,73731,50050,16.1,6.5,60416,7.8,32.2,MIN,1977,,Mining,1983-,False,True
3398401,388916,81821,21.7,56837,15,Economy Wide,174431,38173,38150,383365,Economy Wide,m,981095,365576,615519,29.7,11.1,782864,521360,261504,23.7,7.9,198231,6,47.4,CON,1977,,Construction,1983-,False,True
19326182,316750,38800,12.4,31186,10,Economy Wide,252009,21409,21326,259987,Economy Wide,m,2725261,779366,1945895,14.5,4.1,1780616,1236191,544425,9.4,2.9,944645,5.1,18.8,MAN,1977,,Manufacturing,1983-,False,True
4303510,163437,24749,15.5,17462,10.9,Economy Wide,74049,12059,11998,121029,Economy Wide,m,980625,257679,722946,23.9,6.3,588441,448839,139602,14.3,3.4,392184,9.6,28.6,TCU,1977,,Transportation and public utilities,1983-,False,True
4758252,367735,55677,15.4,41893,11.6,Economy Wide,163079,22973,22749,275205,Economy Wide,m,1086152,465285,620867,23.5,10.1,797631,432177,365454,17.3,7.9,288521,6.2,34.6,WHO,1977,,Wholesale trade,1983-,False,True
13582593,1240959,231929,19,189237,15.5,Economy Wide,792166,130349,129237,939857,Economy Wide,m,3497552,1911207,1586345,26.5,14.5,2709450,1388089,1321361,20.5,10,788102,6,41,RET,1977,,Retail trade,1983-,False,True
4519241,388356,49182,12.8,39293,10.2,Economy Wide,97715,26023,25909,297792,Economy Wide,m,797990,294453,503537,18.1,6.7,554746,364433,190313,12.6,4.3,243244,5.5,25.2,FIRE,1977,,"Finance, insurance, and real estate",1983-,False,True
15127827,1225215,203938,17.1,139824,11.7,Economy Wide,631985,95017,94622,1118349,Economy Wide,m,3560787,1649154,1911633,24.6,11.4,2311236,1302775,1008461,15.9,7,1249551,8.7,31.8,SRV,1977,,Services,1983-,False,True
4491493,2032018,480220,24.1,391696,19.6,Economy Wide,750459,297198,296754,2024233,1 to 4,m,1696528,1192868,503660,39,27.4,1405678,447587,958091,32.3,22,290850,6.7,64.6,EW,1977,,Economy wide,1983-,False,True
4663342,708931,67327,9.6,45318,6.5,Economy Wide,390633,32303,31761,686103,5 to 9,m,1250334,627202,623132,27.5,13.8,1024209,513435,510774,22.5,11.2,226125,5,45,EW,1977,,Economy wide,1983-,False,True
