,ColCode,ColDescr,ColType,DataValue,NoteRef,RowCode,RowDescr,RowType,TableID,Year
0,21,Mining,Industry,69,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
1,22,Utilities,Industry,0,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
2,81,"Other services, except government",Industry,37,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
3,23,Construction,Industry,796,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
4,F010,Personal consumption expenditures,Industry,40584,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
5,42,Wholesale trade,Industry,17,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
6,44RT,Retail trade,Industry,762,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
7,F040,Exports of goods and services,Industry,25311,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
8,F050,Imports of goods and services,Industry,-23222,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
9,TOTII,Total Intermediate,Industry,211832,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
10,TOTFU,Total Final Uses (GDP),Industry,47280,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
11,TOTCOMOUT,Total Commodity Output,Industry,259112,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
12,51,Information,Industry,0,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
13,31G,Manufacturing,Industry,151659,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
14,F030,Change in private inventories,Industry,4606,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
15,48TW,Transportation and warehousing,Industry,7,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
16,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,40,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
17,G,Government,Industry,867,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
18,6,"Educational services, health care, and social assistance",Industry,334,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
19,PROF,Professional and business services,Industry,397,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
20,11,"Agriculture, forestry, fishing, and hunting",Industry,53068,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
21,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,3778,47,11,"Agriculture, forestry, fishing, and hunting",Commodity,47,1997
22,F010,Personal consumption expenditures,Industry,370,47,21,Mining,Commodity,47,1997
23,23,Construction,Industry,6764,47,21,Mining,Commodity,47,1997
24,81,"Other services, except government",Industry,151,47,21,Mining,Commodity,47,1997
25,22,Utilities,Industry,26238,47,21,Mining,Commodity,47,1997
26,21,Mining,Industry,19218,47,21,Mining,Commodity,47,1997
27,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,633,47,21,Mining,Commodity,47,1997
28,PROF,Professional and business services,Industry,294,47,21,Mining,Commodity,47,1997
29,48TW,Transportation and warehousing,Industry,3262,47,21,Mining,Commodity,47,1997
30,TOTCOMOUT,Total Commodity Output,Industry,163093,47,21,Mining,Commodity,47,1997
31,TOTFU,Total Final Uses (GDP),Industry,-32723,47,21,Mining,Commodity,47,1997
32,TOTII,Total Intermediate,Industry,195816,47,21,Mining,Commodity,47,1997
33,F040,Exports of goods and services,Industry,6814,47,21,Mining,Commodity,47,1997
34,42,Wholesale trade,Industry,18,47,21,Mining,Commodity,47,1997
35,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,2343,47,21,Mining,Commodity,47,1997
36,F050,Imports of goods and services,Industry,-63269,47,21,Mining,Commodity,47,1997
37,F030,Change in private inventories,Industry,870,47,21,Mining,Commodity,47,1997
38,44RT,Retail trade,Industry,21,47,21,Mining,Commodity,47,1997
39,F020,Private fixed investment,Industry,22492,47,21,Mining,Commodity,47,1997
40,31G,Manufacturing,Industry,128688,47,21,Mining,Commodity,47,1997
41,G,Government,Industry,7059,47,21,Mining,Commodity,47,1997
42,11,"Agriculture, forestry, fishing, and hunting",Industry,821,47,21,Mining,Commodity,47,1997
43,6,"Educational services, health care, and social assistance",Industry,99,47,21,Mining,Commodity,47,1997
44,51,Information,Industry,207,47,21,Mining,Commodity,47,1997
45,PROF,Professional and business services,Industry,7250,47,22,Utilities,Commodity,47,1997
46,21,Mining,Industry,4531,47,22,Utilities,Commodity,47,1997
47,22,Utilities,Industry,1533,47,22,Utilities,Commodity,47,1997
48,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,11044,47,22,Utilities,Commodity,47,1997
49,81,"Other services, except government",Industry,2236,47,22,Utilities,Commodity,47,1997
50,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,31777,47,22,Utilities,Commodity,47,1997
51,31G,Manufacturing,Industry,49719,47,22,Utilities,Commodity,47,1997
52,42,Wholesale trade,Industry,4746,47,22,Utilities,Commodity,47,1997
53,F040,Exports of goods and services,Industry,1884,47,22,Utilities,Commodity,47,1997
54,48TW,Transportation and warehousing,Industry,2555,47,22,Utilities,Commodity,47,1997
55,23,Construction,Industry,2841,47,22,Utilities,Commodity,47,1997
56,F010,Personal consumption expenditures,Industry,147199,47,22,Utilities,Commodity,47,1997
57,F050,Imports of goods and services,Industry,-1041,47,22,Utilities,Commodity,47,1997
58,44RT,Retail trade,Industry,13108,47,22,Utilities,Commodity,47,1997
59,51,Information,Industry,3557,47,22,Utilities,Commodity,47,1997
60,TOTII,Total Intermediate,Industry,166586,47,22,Utilities,Commodity,47,1997
61,TOTFU,Total Final Uses (GDP),Industry,148042,47,22,Utilities,Commodity,47,1997
62,TOTCOMOUT,Total Commodity Output,Industry,314628,47,22,Utilities,Commodity,47,1997
63,11,"Agriculture, forestry, fishing, and hunting",Industry,3967,47,22,Utilities,Commodity,47,1997
64,G,Government,Industry,16093,47,22,Utilities,Commodity,47,1997
65,6,"Educational services, health care, and social assistance",Industry,11630,47,22,Utilities,Commodity,47,1997
66,23,Construction,Industry,546,47,23,Construction,Commodity,47,1997
67,81,"Other services, except government",Industry,1794,47,23,Construction,Commodity,47,1997
68,22,Utilities,Industry,1497,47,23,Construction,Commodity,47,1997
69,21,Mining,Industry,1625,47,23,Construction,Commodity,47,1997
70,51,Information,Industry,2443,47,23,Construction,Commodity,47,1997
71,TOTCOMOUT,Total Commodity Output,Industry,763039,47,23,Construction,Commodity,47,1997
72,TOTFU,Total Final Uses (GDP),Industry,668652,47,23,Construction,Commodity,47,1997
73,TOTII,Total Intermediate,Industry,94386,47,23,Construction,Commodity,47,1997
74,F040,Exports of goods and services,Industry,154,47,23,Construction,Commodity,47,1997
75,42,Wholesale trade,Industry,1035,47,23,Construction,Commodity,47,1997
76,48TW,Transportation and warehousing,Industry,2132,47,23,Construction,Commodity,47,1997
77,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,25211,47,23,Construction,Commodity,47,1997
78,F100,Government consumption expenditures and gross investment,Industry,152929,47,23,Construction,Commodity,47,1997
79,F020,Private fixed investment,Industry,515569,47,23,Construction,Commodity,47,1997
80,44RT,Retail trade,Industry,2622,47,23,Construction,Commodity,47,1997
81,31G,Manufacturing,Industry,14929,47,23,Construction,Commodity,47,1997
82,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,3266,47,23,Construction,Commodity,47,1997
83,PROF,Professional and business services,Industry,4021,47,23,Construction,Commodity,47,1997
84,11,"Agriculture, forestry, fishing, and hunting",Industry,1174,47,23,Construction,Commodity,47,1997
85,G,Government,Industry,30528,47,23,Construction,Commodity,47,1997
86,6,"Educational services, health care, and social assistance",Industry,1564,47,23,Construction,Commodity,47,1997
87,PROF,Professional and business services,Industry,54150,47,31G,Manufacturing,Commodity,47,1997
88,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,105260,47,31G,Manufacturing,Commodity,47,1997
89,21,Mining,Industry,16507,47,31G,Manufacturing,Commodity,47,1997
90,22,Utilities,Industry,4256,47,31G,Manufacturing,Commodity,47,1997
91,23,Construction,Industry,211837,47,31G,Manufacturing,Commodity,47,1997
92,81,"Other services, except government",Industry,35605,47,31G,Manufacturing,Commodity,47,1997
93,F010,Personal consumption expenditures,Industry,942523,47,31G,Manufacturing,Commodity,47,1997
94,42,Wholesale trade,Industry,22103,47,31G,Manufacturing,Commodity,47,1997
95,F040,Exports of goods and services,Industry,517392,47,31G,Manufacturing,Commodity,47,1997
96,TOTII,Total Intermediate,Industry,2363855,47,31G,Manufacturing,Commodity,47,1997
97,TOTFU,Total Final Uses (GDP),Industry,1357916,47,31G,Manufacturing,Commodity,47,1997
98,TOTCOMOUT,Total Commodity Output,Industry,3721772,47,31G,Manufacturing,Commodity,47,1997
99,51,Information,Industry,42192,47,31G,Manufacturing,Commodity,47,1997
100,48TW,Transportation and warehousing,Industry,62426,47,31G,Manufacturing,Commodity,47,1997
101,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,39479,47,31G,Manufacturing,Commodity,47,1997
102,31G,Manufacturing,Industry,1449945,47,31G,Manufacturing,Commodity,47,1997
103,F030,Change in private inventories,Industry,53458,47,31G,Manufacturing,Commodity,47,1997
104,44RT,Retail trade,Industry,23692,47,31G,Manufacturing,Commodity,47,1997
105,F020,Private fixed investment,Industry,547264,47,31G,Manufacturing,Commodity,47,1997
106,F100,Government consumption expenditures and gross investment,Industry,65805,47,31G,Manufacturing,Commodity,47,1997
107,F050,Imports of goods and services,Industry,-768525,47,31G,Manufacturing,Commodity,47,1997
108,6,"Educational services, health care, and social assistance",Industry,98398,47,31G,Manufacturing,Commodity,47,1997
109,11,"Agriculture, forestry, fishing, and hunting",Industry,46575,47,31G,Manufacturing,Commodity,47,1997
110,G,Government,Industry,151430,47,31G,Manufacturing,Commodity,47,1997
111,81,"Other services, except government",Industry,4553,47,42,Wholesale trade,Commodity,47,1997
112,22,Utilities,Industry,3234,47,42,Wholesale trade,Commodity,47,1997
113,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,14675,47,42,Wholesale trade,Commodity,47,1997
114,21,Mining,Industry,3062,47,42,Wholesale trade,Commodity,47,1997
115,PROF,Professional and business services,Industry,8518,47,42,Wholesale trade,Commodity,47,1997
116,11,"Agriculture, forestry, fishing, and hunting",Industry,15992,47,42,Wholesale trade,Commodity,47,1997
117,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,10742,47,42,Wholesale trade,Commodity,47,1997
118,48TW,Transportation and warehousing,Industry,16506,47,42,Wholesale trade,Commodity,47,1997
119,F030,Change in private inventories,Industry,6709,47,42,Wholesale trade,Commodity,47,1997
120,F040,Exports of goods and services,Industry,62545,47,42,Wholesale trade,Commodity,47,1997
121,42,Wholesale trade,Industry,11302,47,42,Wholesale trade,Commodity,47,1997
122,31G,Manufacturing,Industry,193694,47,42,Wholesale trade,Commodity,47,1997
123,F050,Imports of goods and services,Industry,19617,47,42,Wholesale trade,Commodity,47,1997
124,44RT,Retail trade,Industry,6640,47,42,Wholesale trade,Commodity,47,1997
125,F100,Government consumption expenditures and gross investment,Industry,5520,47,42,Wholesale trade,Commodity,47,1997
126,F010,Personal consumption expenditures,Industry,198770,47,42,Wholesale trade,Commodity,47,1997
127,F020,Private fixed investment,Industry,78227,47,42,Wholesale trade,Commodity,47,1997
128,23,Construction,Industry,26389,47,42,Wholesale trade,Commodity,47,1997
129,G,Government,Industry,20048,47,42,Wholesale trade,Commodity,47,1997
130,TOTII,Total Intermediate,Industry,359641,47,42,Wholesale trade,Commodity,47,1997
131,TOTFU,Total Final Uses (GDP),Industry,371388,47,42,Wholesale trade,Commodity,47,1997
132,51,Information,Industry,8057,47,42,Wholesale trade,Commodity,47,1997
133,TOTCOMOUT,Total Commodity Output,Industry,731029,47,42,Wholesale trade,Commodity,47,1997
134,6,"Educational services, health care, and social assistance",Industry,16229,47,42,Wholesale trade,Commodity,47,1997
135,PROF,Professional and business services,Industry,1190,47,44RT,Retail trade,Commodity,47,1997
136,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,4183,47,44RT,Retail trade,Commodity,47,1997
137,21,Mining,Industry,416,47,44RT,Retail trade,Commodity,47,1997
138,22,Utilities,Industry,367,47,44RT,Retail trade,Commodity,47,1997
139,81,"Other services, except government",Industry,3492,47,44RT,Retail trade,Commodity,47,1997
140,23,Construction,Industry,47646,47,44RT,Retail trade,Commodity,47,1997
141,42,Wholesale trade,Industry,196,47,44RT,Retail trade,Commodity,47,1997
142,48TW,Transportation and warehousing,Industry,3416,47,44RT,Retail trade,Commodity,47,1997
143,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,1992,47,44RT,Retail trade,Commodity,47,1997
144,31G,Manufacturing,Industry,11057,47,44RT,Retail trade,Commodity,47,1997
145,F010,Personal consumption expenditures,Industry,661593,47,44RT,Retail trade,Commodity,47,1997
146,F020,Private fixed investment,Industry,29754,47,44RT,Retail trade,Commodity,47,1997
147,44RT,Retail trade,Industry,1394,47,44RT,Retail trade,Commodity,47,1997
